Title,Author,Issue_No,DOI,Article_URL,published_date
International Journal of Advanced Engineering Research and Science (IJAERS),"Renangi, Sandeep",11,55,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,28-Dec-25
dsffs,"sandeep,narayan",34234,766,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,28-oct-25
hello,hemanth,325345,55,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,27-Dec-25
bhai,nandu,400,32,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,10-dec-25
laddu,neenee,300,50,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,3-dec-25
lol, you,290,49,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,28-oct-25
Science (IJAERS),"you, Sandeep",11,55,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,13-nov-25
dsffs,narayan,34234,766,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,28-nov-25
hello,teja,325345,55,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,17-nov-25
bhai,vishnu,400,32,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,10-nov-25
laddu,sanju,300,50,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,3-oct-25
lol, goody,290,49,https://ijaers.com/Paper-Nov%202015/9%20IJAERS-NOV-2015-23-Multi%20objective%20optimization%20of%20process%20parameters%20in%20plasma%20arc%20cutting%20of%20SS%20420%20using%20Grey-Taguchi%20analysis.pdf,28-oct-25
